run_id,mode,domain,seed,milestone,auc50k,n_ep_50k,auc100k,n_ep_100k,auc125k,n_ep_125k,final10,qc_pass
adapt_ax1q1s0_cup_seed1_ckpt500000,ax1q1s0,cup,1,500000,61.25,48,320.6771,96,407.5714,112,910.0,1
adapt_ax1q1s0_cup_seed2_ckpt500000,ax1q1s0,cup,2,500000,501.5833,48,733.3021,96,767.2679,112,972.8,1
adapt_ax1q1s0_cup_seed3_ckpt500000,ax1q1s0,cup,3,500000,558.4583,48,757.3958,96,787.2679,112,961.5,1
adapt_ax1q1s0_cup_seed4_ckpt500000,ax1q1s0,cup,4,500000,142.6042,48,520.8021,96,577.5625,112,913.9,1
adapt_ax1q1s0_cup_seed5_ckpt500000,ax1q1s0,cup,5,500000,484.0,48,724.3333,96,758.7857,112,966.6,1
adapt_ax1q1s0_cup_seed6_ckpt500000,ax1q1s0,cup,6,500000,358.9167,48,657.7708,96,701.5536,112,968.1,1
adapt_ax1q1s0_cup_seed7_ckpt500000,ax1q1s0,cup,7,500000,533.375,48,752.6562,96,784.8304,112,978.8,1
adapt_ax1q1s0_cup_seed8_ckpt500000,ax1q1s0,cup,8,500000,486.2083,48,726.4688,96,761.125,112,967.8,1
adapt_ax1q1s0_finger_seed1_ckpt500000,ax1q1s0,finger,1,500000,165.1667,48,150.9375,96,163.9375,112,287.1,1
adapt_ax1q1s0_finger_seed2_ckpt500000,ax1q1s0,finger,2,500000,30.4583,48,87.3854,96,75.4375,112,5.0,1
adapt_ax1q1s0_finger_seed3_ckpt500000,ax1q1s0,finger,3,500000,29.1875,48,50.5729,96,44.3661,112,7.5,1
adapt_ax1q1s0_finger_seed4_ckpt500000,ax1q1s0,finger,4,500000,67.3125,48,118.2396,96,122.8036,112,240.3,1
adapt_ax1q1s0_finger_seed5_ckpt500000,ax1q1s0,finger,5,500000,94.8542,48,96.3958,96,87.9018,112,19.5,1
adapt_ax1q1s0_finger_seed6_ckpt500000,ax1q1s0,finger,6,500000,135.1667,48,109.375,96,93.8482,112,0.0,1
adapt_ax1q1s0_finger_seed7_ckpt500000,ax1q1s0,finger,7,500000,180.5,48,196.5625,96,219.9107,112,476.0,1
adapt_ax1q1s0_finger_seed8_ckpt500000,ax1q1s0,finger,8,500000,75.3542,48,59.0312,96,68.1786,112,196.7,1
adapt_ax1q1s1_cup_seed1_ckpt500000,ax1q1s1,cup,1,500000,120.0208,48,521.9167,96,579.9732,112,926.6,1
adapt_ax1q1s1_cup_seed2_ckpt500000,ax1q1s1,cup,2,500000,714.25,48,840.2812,96,858.25,112,961.5,1
adapt_ax1q1s1_cup_seed3_ckpt500000,ax1q1s1,cup,3,500000,507.0,48,737.7188,96,770.9196,112,967.8,1
adapt_ax1q1s1_cup_seed4_ckpt500000,ax1q1s1,cup,4,500000,249.625,48,600.6042,96,652.0625,112,957.5,1
adapt_ax1q1s1_cup_seed5_ckpt500000,ax1q1s1,cup,5,500000,304.8958,48,631.3333,96,679.3125,112,965.7,1
adapt_ax1q1s1_cup_seed6_ckpt500000,ax1q1s1,cup,6,500000,625.5417,48,793.25,96,814.125,112,926.4,1
adapt_ax1q1s1_cup_seed7_ckpt500000,ax1q1s1,cup,7,500000,487.6458,48,723.375,96,757.8125,112,965.1,1
adapt_ax1q1s1_cup_seed8_ckpt500000,ax1q1s1,cup,8,500000,463.0625,48,713.75,96,750.6607,112,974.5,1
adapt_ax1q1s1_finger_seed1_ckpt500000,ax1q1s1,finger,1,500000,237.0625,48,287.6354,96,306.2321,112,477.1,1
adapt_ax1q1s1_finger_seed2_ckpt500000,ax1q1s1,finger,2,500000,359.8542,48,461.5208,96,463.4196,112,400.2,1
adapt_ax1q1s1_finger_seed3_ckpt500000,ax1q1s1,finger,3,500000,189.3958,48,144.0104,96,129.6786,112,0.0,1
adapt_ax1q1s1_finger_seed4_ckpt500000,ax1q1s1,finger,4,500000,171.0625,48,376.1979,96,408.5982,112,565.1,1
adapt_ax1q1s1_finger_seed5_ckpt500000,ax1q1s1,finger,5,500000,98.8542,48,80.7604,96,77.8393,112,96.5,1
adapt_ax1q1s1_finger_seed6_ckpt500000,ax1q1s1,finger,6,500000,239.9375,48,279.1667,96,298.7857,112,463.8,1
adapt_ax1q1s1_finger_seed7_ckpt500000,ax1q1s1,finger,7,500000,297.8125,48,378.8125,96,437.9643,112,764.6,1
adapt_ax1q1s1_finger_seed8_ckpt500000,ax1q1s1,finger,8,500000,190.1458,48,134.9688,96,145.3839,112,332.6,1
adapt_ax1q2s0_cup_seed1_ckpt500000,ax1q2s0,cup,1,500000,741.4167,48,849.6458,96,864.9911,112,957.6,1
adapt_ax1q2s0_cup_seed2_ckpt500000,ax1q2s0,cup,2,500000,101.5625,48,379.4062,96,452.2054,112,907.6,1
adapt_ax1q2s0_cup_seed3_ckpt500000,ax1q2s0,cup,3,500000,518.1458,48,744.5938,96,774.75,112,953.7,1
adapt_ax1q2s0_cup_seed4_ckpt500000,ax1q2s0,cup,4,500000,326.1667,48,642.7917,96,687.4018,112,953.8,1
adapt_ax1q2s0_cup_seed5_ckpt500000,ax1q2s0,cup,5,500000,471.9583,48,719.6042,96,756.2143,112,978.6,1
adapt_ax1q2s0_cup_seed6_ckpt500000,ax1q2s0,cup,6,500000,217.1458,48,559.8958,96,612.7054,112,936.4,1
adapt_ax1q2s0_cup_seed7_ckpt500000,ax1q2s0,cup,7,500000,506.25,48,687.4375,96,726.2143,112,962.6,1
adapt_ax1q2s0_cup_seed8_ckpt500000,ax1q2s0,cup,8,500000,756.1875,48,854.7396,96,870.5268,112,955.7,1
adapt_ax1q2s0_finger_seed1_ckpt500000,ax1q2s0,finger,1,500000,112.5833,48,106.5729,96,112.9464,112,191.9,1
adapt_ax1q2s0_finger_seed2_ckpt500000,ax1q2s0,finger,2,500000,83.1875,48,92.3646,96,118.875,112,401.9,1
adapt_ax1q2s0_finger_seed3_ckpt500000,ax1q2s0,finger,3,500000,95.1667,48,89.1979,96,85.1339,112,97.2,1
adapt_ax1q2s0_finger_seed4_ckpt500000,ax1q2s0,finger,4,500000,89.1667,48,98.1354,96,84.7232,112,6.8,1
adapt_ax1q2s0_finger_seed5_ckpt500000,ax1q2s0,finger,5,500000,82.6042,48,68.2708,96,60.3214,112,2.9,1
adapt_ax1q2s0_finger_seed6_ckpt500000,ax1q2s0,finger,6,500000,149.4792,48,287.5417,96,293.4107,112,137.7,1
adapt_ax1q2s0_finger_seed7_ckpt500000,ax1q2s0,finger,7,500000,102.8958,48,76.9271,96,74.375,112,88.2,1
adapt_ax1q2s0_finger_seed8_ckpt500000,ax1q2s0,finger,8,500000,93.0625,48,155.2083,96,143.8482,112,75.7,1
adapt_ax1q2s1_cup_seed1_ckpt500000,ax1q2s1,cup,1,500000,139.3125,48,304.6458,96,383.5625,112,872.5,1
adapt_ax1q2s1_cup_seed2_ckpt500000,ax1q2s1,cup,2,500000,268.125,48,581.4271,96,630.5446,112,964.6,1
adapt_ax1q2s1_cup_seed3_ckpt500000,ax1q2s1,cup,3,500000,156.0625,48,541.2083,96,602.0625,112,968.5,1
adapt_ax1q2s1_cup_seed4_ckpt500000,ax1q2s1,cup,4,500000,600.2917,48,772.1562,96,798.5,112,957.3,1
adapt_ax1q2s1_cup_seed5_ckpt500000,ax1q2s1,cup,5,500000,438.25,48,602.1771,96,629.0536,112,781.1,1
